ACOSTA ISLAS ANABEL,PRI ,Sonora
ALBARRAN MENDOZA ESTEBAN,PRI ,Guerrero
ALBORES GLEASON ROBERTO ARMANDO,PRI ,Chiapas
ALCALA RUIZ BLANCA MARIA DEL SOCORRO,PRI ,Puebla 
ALVAREZ GARCIA IVONNE LILIANA,PRI ,Nuevo Leon
AMADOR GAXIOLA DANIEL,PRI ,Sinaloa
ARAUJO LARA ANGELICA DEL ROSARIO,PRI ,Yucatan
ARECHIGA AVILA JORGE,PVEM,Quintana Roo
AVILA RUIZ DANIEL GABRIEL,PAN,Yucatan
AYALA ALMEIDA JOEL,PRI ,Lista nacional
BARBOSA HUERTA MIGUEL,PRD,Lista nacional
BARRERA TAPIA MARIA ELENA,PVEM,Mexico
BARROSO AGRAMONT RICARDO,PRI ,Baja California Sur
BARTLETT DIAZ MANUEL,PT,Lista nacional
BERISTAIN NAVARRETE LUZ MARIA,PRD,Quintana Roo
BLASQUEZ SALINAS MARCO ANTONIO,PT,Baja California 
BURGOS GARCIA ENRIQUE,PRI ,Queretaro
BURQUEZ VALENZUELA FRANCISCO DE PAULA,PAN,Sonora
CALDERON HINOJOSA LUISA MARIA,PAN,Lista nacional
CARDENAS FONSECA MANUEL,Independiente,Lista nacional
CASILLAS ROMERO JESUS,PRI ,Jalisco
CAVAZOS LERMA MANUEL,PRI ,Tamaulipas
CEBALLOS LLERENAS HILDA,PRI ,Colima
CERVANTES ANDRADE RAUL,PRI ,Lista nacional
CHICO HERRERA MIGUEL ANGEL,PRI ,Guanajuato
CORDERO ARROYO ERNESTO JAVIER,PAN,Lista nacional
COTA JIMENEZ MANUEL HUMBERTO,PRI ,Nayarit
CUELLAR CISNEROS LORENA,PRD,Tlaxcala
CUEVAS BARRON GABRIELA,PAN,Lista nacional
DAVILA FERNANDEZ ADRIANA,PAN,Tlaxcala
DE LA PENA GOMEZ ANGELICA,PRD,Lista nacional
DE LA TORRE VALDEZ YOLANDA,PRI ,Durango
DELGADO CARRILLO MARIO,PRD,Distrito Federal
DEMEDICIS HIDALGO FIDEL,PRD,Morelos
DIAZ LIZAMA ROSA ADRIANA,PAN,Yucatan
DIAZ SALAZAR MARIA CRISTINA,PRI ,Lista nacional
DOMINGUEZ ARVIZU MARIA HILARIA,PRI ,Lista nacional
DORANTES MARTINEZ CARMEN,PRI ,Hidalgo
ENCINAS RODRIGUEZ ALEJANDRO DE JESUS,PRD,Mexico
ESCUDERO MORALES PABLO,PVEM,Distrito Federal
FERNANDEZ FUENTES LUIS HUMBERTO,PRD,Lista nacional
FERNANDEZ SANCHEZ NAVARRO JUAN ALEJANDRO,PAN,Baja California Sur
FLORES AVALOS HECTOR DAVID,ṔAN,Durango
FLORES ESCALERA HILDA ESTHELA,PRI ,Lista nacional
FLORES RAMIREZ JUAN GERARDO,PVEM,Lista nacional
FLORES SANCHEZ MARGARITA,PRI ,Nayarit
GAMBOA PATRON EMILIO,PRI ,Lista nacional
GANDARA CAMOU ERNESTO,PRI ,Sonora
GARCIA GARCIA ANDREA,PAN,Tamaulipas
GARCIA GOMEZ MARTHA ELENA,PAN,Nayarit
GARCIA GUAJARDO SANDRA LUZ,PAN,Tamaulipas
